[2025-06-08 21:36:08] [INFO    ] discord.client: logging in using static token
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1376669317080551444', 'username': 'goosebot', 'avatar': '75f8970c38bc41c8008ecd8d81ae0e21', 'discriminator': '9992', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-08 21:36:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1376669317080551444', 'name': 'goosebot', 'icon': '75f8970c38bc41c8008ecd8d81ae0e21', 'description': 'use !help\ndeveloped by https://github.com/JuanLopez2004', 'type': None, 'bot': {'id': '1376669317080551444', 'username': 'goosebot', 'avatar': '75f8970c38bc41c8008ecd8d81ae0e21', 'discriminator': '9992', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7ad932f86d81bc519be4a5ecf9b36e3aeed7d97fd8eb4cf8d069de752c45010b', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '521296381386686504', 'username': 'radishbeet', 'avatar': '4eaf14697fef1e3ceaa3d9347e3b33f0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_31165483e926386cad2228a0690e353d', 'accent_color': 16284397, 'global_name': 'Radish', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#f87aed', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 5, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-08 21:36:09] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-08 21:36:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-ct6d",{"micros":0.0}]']}}
[2025-06-08 21:36:09] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-08 21:36:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-08 21:36:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'goosebot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1376669317080551444', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9992', 'clan': None, 'bot': True, 'avatar': '75f8970c38bc41c8008ecd8d81ae0e21'}, 'session_type': 'normal', 'session_id': '30e46b55509f191ac3a28526643614f5', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '688194754160099330'}, {'unavailable': True, 'id': '882718455718092861'}, {'unavailable': True, 'id': '1135787609713561640'}, {'unavailable': True, 'id': '1240088308944601239'}, {'unavailable': True, 'id': '1308199495221117039'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'atlanta', 'us-east', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1376669317080551444', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-ct6d",{"micros":316520,"calls":["id_created",{"micros":805,"calls":[]},"session_lookup_time",{"micros":1956,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-88",{"micros":313399,"calls":["start_session",{"micros":304376,"calls":["discord-api-rpc-6db85b8f4c-9nsh4",{"micros":275583,"calls":["get_user",{"micros":33314},"get_guilds",{"micros":23073},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":13565},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":4968},"apex_user_experiments",{"micros":5},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":8483,"calls":[]},"guilds_started",{"micros":129,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":363,"calls":[]},"connect_finished",{"micros":366,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-06-08 21:36:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-08 21:36:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 30e46b55509f191ac3a28526643614f5).
[2025-06-08 21:36:10] [DEBUG   ] discord.client: Dispatching event connect
